iter	Passed	Remaining
755	2348	757
756	2351	754
757	2354	751
758	2357	748
759	2360	745
760	2362	742
761	2365	738
762	2368	735
763	2371	732
764	2375	729
765	2379	726
766	2382	723
767	2385	720
768	2388	717
769	2391	714
770	2394	711
771	2397	708
772	2400	704
773	2403	701
774	2406	698
775	2409	695
776	2412	692
777	2415	689
778	2419	686
779	2422	683
780	2425	680
781	2428	677
782	2431	673
783	2435	671
784	2439	668
785	2442	665
786	2445	661
787	2449	658
788	2452	655
789	2454	652
790	2458	649
791	2461	646
792	2463	643
793	2467	640
794	2470	637
795	2474	634
796	2477	630
797	2479	627
798	2483	624
799	2485	621
800	2489	618
801	2492	615
802	2495	612
803	2498	608
804	2501	606
805	2505	603
806	2508	599
807	2511	596
808	2514	593
809	2517	590
810	2520	587
811	2524	584
812	2528	581
813	2531	578
814	2535	575
815	2539	572
816	2542	569
817	2545	566
818	2548	563
819	2551	559
820	2554	556
821	2556	553
822	2560	550
823	2563	547
824	2566	544
825	2569	541
826	2573	538
827	2576	535
828	2579	532
829	2582	528
830	2585	525
831	2588	522
832	2591	519
833	2594	516
834	2598	513
835	2602	510
836	2607	507
837	2610	504
838	2613	501
839	2616	498
840	2619	495
841	2622	492
842	2626	489
843	2629	486
844	2632	482
845	2636	479
846	2639	476
847	2642	473
848	2645	470
849	2648	467
850	2651	464
851	2654	461
852	2657	458
853	2660	454
854	2663	451
855	2667	448
856	2670	445
857	2673	442
858	2676	439
859	2678	436
860	2681	432
861	2684	429
862	2687	426
863	2690	423
864	2694	420
865	2697	417
866	2700	414
867	2703	411
868	2706	408
869	2710	404
870	2712	401
871	2716	398
872	2719	395
873	2722	392
874	2726	389
875	2729	386
876	2732	383
877	2735	380
878	2738	377
879	2741	373
880	2744	370
881	2747	367
882	2750	364
883	2753	361
884	2757	358
885	2760	355
886	2762	351
887	2765	348
888	2768	345
889	2772	342
890	2775	339
891	2777	336
892	2782	333
893	2784	330
894	2787	327
895	2790	323
896	2793	320
897	2796	317
898	2799	314
899	2801	311
900	2804	308
901	2807	305
902	2810	301
903	2813	298
904	2816	295
905	2820	292
906	2823	289
907	2826	286
908	2829	283
909	2832	280
910	2835	277
911	2838	273
912	2842	270
913	2844	267
914	2847	264
915	2851	261
916	2854	258
917	2856	255
918	2860	252
919	2863	248
920	2866	245
921	2869	242
922	2872	239
923	2875	236
924	2878	233
925	2881	230
926	2884	227
927	2887	223
928	2889	220
929	2892	217
930	2895	214
931	2899	211
932	2902	208
933	2906	205
934	2909	202
935	2912	199
936	2915	196
937	2918	192
938	2922	189
939	2926	186
940	2928	183
941	2931	180
942	2934	177
943	2937	174
944	2940	171
945	2943	168
946	2946	164
947	2950	161
948	2954	158
949	2957	155
950	2960	152
951	2963	149
952	2966	146
953	2969	143
954	2972	140
955	2975	136
956	2977	133
957	2981	130
958	2984	127
959	2987	124
960	2992	121
961	2994	118
962	2997	115
963	3000	112
964	3004	108
965	3008	105
966	3011	102
967	3014	99
968	3017	96
969	3019	93
970	3023	90
971	3025	87
972	3028	84
973	3031	80
974	3034	77
975	3037	74
976	3040	71
977	3042	68
978	3045	65
979	3048	62
980	3051	59
981	3054	55
982	3057	52
983	3060	49
984	3063	46
985	3066	43
986	3069	40
987	3072	37
988	3075	34
989	3077	31
990	3080	27
991	3083	24
992	3086	21
993	3088	18
994	3092	15
995	3095	12
996	3099	9
997	3102	6
998	3105	3
999	3108	0
